time,obs
11869,173.92
11868,173.13
11868,172.82
11867,172.86
11867,173.78
11867,175.1
11866,175.89
11866,175.39
11865,174.76
11865,175.05
11864,175.12
11864,175.51
11863,175.39
11863,175.96
11862,176.45
11862,175.52
11861,173.98
11861,172.37
11860,171.68
11860,170.8
11860,169.87
11859,168.73
11859,167.94
11858,167.82
11858,167.52
11857,167.27
11857,167.52
11856,167.95
11856,168.64
11855,169.48
11855,169.96
11854,170.53
11854,171.49
11854,171.81
11853,172.11
11853,172.27
11852,171.93
11852,171.64
11851,171.84
11851,171.69
11850,171.51
11850,171.33
11849,171.14
11849,171.01
11848,171.1
11848,171.15
11847,170.53
11847,170.03
11847,169.65
11846,169.4
11846,169.03
11845,169.09
11845,169.41
11844,169.48
11844,170.12
11843,170.16
11843,170.01
11842,170.52
11842,171.15
11841,171.63
11841,171.83
11840,171.72
11840,171.57
11840,171.33
11839,171.23
11839,171.25
11838,171.59
11838,172.03
11837,172.48
11837,172.59
11836,173.39
11836,174.19
11835,175.19
11835,175.49
11834,175.8
11834,176.24
11834,175.99
11833,175.64
11833,175.42
11832,175.31
11832,175.18
11831,174.71
11831,173.97
11830,173.59
11830,173.38
11829,173.14
11829,173.09
11828,173.77
11828,173.94
11827,173.67
11827,173.67
11827,173.51
11826,173.48
11826,173.3
11825,173.44
11825,173.59
11824,173.62
11824,173.25
11823,172.71
11823,172.64
11822,172.87
11822,172.96
11821,172.85
11821,172.88
11821,173.36
11820,173.8
11820,173.71
11819,173.53
11819,173.66
11818,174.46
11818,174.54
11817,173.94
11817,173.79
11816,173.92
11816,174.06
11815,174.12
11815,173.89
11814,173.5
11814,173.51
11814,173.45
11813,172.96
11813,172.75
11812,173.44
11812,173.9
11811,174
11811,173.59
11810,173.33
11810,172.8
11809,172.44
11809,172.04
11808,171.42
11808,170.97
11808,170.57
11807,169.91
11807,169.14
11806,168.47
11806,168.03
11805,167.61
11805,167.83
11804,168.38
11804,169.36
11803,169.54
11803,169.72
11802,169.61
11802,169.6
11801,169.95
11801,170.33
11801,170.7
11800,171.07
11800,171.26
11799,171.3
11799,171.05
11798,170.78
11798,170.9
11797,170.86
11797,171.29
11796,171.5
11796,171.31
11795,171.51
11795,171.52
11794,171.7
11794,171.86
11794,172.01
11793,172.24
11793,172.28
11792,171.99
11792,171.4
11791,170.79
11791,169.18
11790,168.67
11790,167.7
11789,165.61
11789,164.15
11788,163.39
11788,162.87
11788,162.54
11787,162.45
11787,162.46
11786,162.4
11786,162.38
11785,162.51
11785,162.42
11784,162.33
11784,162.24
11783,162.15
11783,162.18
11782,163.01
11782,163.76
11781,163.78
11781,163.69
11781,164.02
11780,164.51
11780,164.83
11779,165.74
11779,166.96
11778,167.15
11778,168
11777,168.78
11777,168.67
11776,169.08
11776,169.03
11775,168.64
11775,168.34
11775,168.21
11774,168.14
11774,168.07
11773,168.5
11773,169.18
11772,169.73
11772,170.13
11771,170.27
11771,169.91
11770,169.28
11770,169.11
11769,169.42
11769,169.6
11768,169.48
11768,169.3
11768,169.24
11767,168.86
11767,168.18
11766,167.4
11766,167.07
11765,167.32
11765,167.84
11764,167.86
11764,167.85
11763,168.08
11763,168.24
11762,168.2
11762,168.17
11762,168.8
11761,169.67
11761,170.71
11760,171.02
11760,171.15
11759,171.4
11759,171.78
11758,172.07
11758,172.17
11757,172.13
11757,172.12
11756,172.13
11756,171.59
11755,171.05
11755,171.29
11755,171.48
11754,171.52
11754,170.9
11753,169.95
11753,169.28
11752,169.29
11752,169.77
11751,170.34
11751,170.29
11750,169.66
11750,168.65
11749,168.09
11749,167.74
11748,167.65
11748,168.14
11748,168.54
11747,168.59
11747,168.31
11746,167.38
11746,167.21
11745,167.98
11745,168.93
11744,169.4
11744,169.75
11743,169.65
11743,169.28
11742,168.94
11742,168.74
11742,168.94
11741,169.72
11741,170.27
11740,169.82
11740,169.77
11739,170.39
11739,170.2
11738,169.5
11738,169.28
11737,169.25
11737,168.85
11736,168.85
11736,168.18
11735,167.28
11735,166.48
11735,166.45
11734,166.17
11734,165.99
11733,166.37
11733,167.18
11732,167.86
11732,168.36
11731,168.76
11731,168.72
11730,169.08
11730,169.26
11729,169.29
11729,169.29
11729,169.2
11728,169.14
11728,169.01
11727,168.58
11727,168.64
11726,168.28
11726,167.68
11725,167.39
11725,167.97
11724,168.85
11724,169.35
11723,169.09
11723,168.79
11722,169.17
11722,169.29
11722,169.24
11721,169.5
11721,169.7
11720,170.26
11720,170.7
11719,170.31
11719,169.7
11718,169.68
11718,170
11717,170.24
11717,169.61
11716,169.9
11716,170.16
11716,170.67
11715,170.95
11715,170.69
11714,170.26
11714,170.06
11713,170.1
11713,170.14
11712,170.47
11712,170.82
11711,171.29
11711,171.64
11710,171.67
11710,171.51
11709,171.5
11709,172.03
11709,171.85
11708,171.66
11708,171.54
11707,171.55
11707,171.37
11706,170.9
11706,170.19
11705,169.55
11705,169.32
11704,169.14
11704,168.79
11703,168.48
11703,168.62
11702,168.73
11702,168.51
11702,168.16
11701,168.09
11701,168.71
11700,169.33
11700,169.54
11699,169.91
11699,170.12
11698,170.46
11698,171.07
11697,171.38
11697,171.09
11696,171.35
11696,171.7
11696,171.34
11695,170.95
11695,170.9
11694,170.8
11694,170.5
11693,170.29
11693,170.17
11692,169.89
11692,169.95
11691,170.52
11691,171
11690,171.48
11690,172.21
11689,172.41
11689,171.8
11689,171.14
11688,170.9
11688,170.97
11687,170.99
11687,170.93
11686,170.96
11686,170.7
11685,170.1
11685,170.05
11684,169.71
11684,170.26
11683,171.06
11683,171.6
11683,171.76
11682,171.78
11682,172.09
11681,172.24
11681,171.76
11680,171.72
11680,171.52
11679,171.57
11679,171.56
11678,171.55
11678,171.53
11677,171.52
11677,171.51
11676,171.5
11676,171.49
11676,171.46
11675,171.58
11675,172.09
11674,172.53
11674,172.62
11673,172.1
11673,172.32
11672,172.7
11672,172.87
11671,172.85
11671,172.65
11670,172.52
11670,172.47
11670,172.12
11669,171.65
11669,171.53
11668,172.19
11668,171.76
11667,171.5
11667,171.71
11666,171.76
11666,172.23
11665,172.81
11665,173.09
11664,173.16
11664,173.21
11663,173.18
11663,172.96
11663,173.07
11662,173.45
11662,173.6
11661,173.37
11661,173.06
11660,172.54
11660,172.28
11659,172.33
11659,172.26
11658,172.05
11658,171.85
11657,171.76
11657,171.81
11656,171.38
11656,171.6
11656,171.68
11655,171.93
11655,172.1
11654,171.98
11654,171.88
11653,171.97
11653,172.09
11652,171.96
11652,171.91
11651,172.39
11651,172.42
11650,172.72
11650,173.09
11650,173.13
11649,173.02
11649,173.25
11648,173.56
11648,173.95
11647,174.17
11647,174.27
11646,173.78
11646,173.31
11645,173.02
11645,172.84
11644,172.83
11644,172.9
11643,172.49
11643,172.18
11643,171.64
11642,171.17
11642,170.86
11641,170.77
11641,170.85
11640,170.75
11640,170.54
11639,170.35
11639,170.22
11638,170.28
11638,170.01
11637,170.18
11637,170.35
11637,170.45
11636,170.33
11636,170.02
11635,169.83
11635,169.96
11634,170.12
11634,169.81
11633,169.34
11633,169.33
11632,169.89
11632,169.98
11631,170.19
11631,170.21
11630,170.2
11630,170.58
11630,170.64
11629,170.69
11629,170.75
11628,170.8
11628,170.86
11627,170.95
11627,171.18
11626,171.01
11626,171.8
11625,172.82
11625,173.5
11624,173.86
11624,173.98
11623,174.09
11623,174.69
11623,175.83
11622,175.53
11622,175.56
11621,175.19
11621,174.3
11620,173.25
11620,172.4
11619,171.92
11619,171.76
11618,172.01
